20,50,13,40,0
100,67,26,33,1
0,51,11,28,0
0,48,11,18,0
94,88,18,28,1
10,48,21,41,0
40,60,11,38,1
0,70,11,36,0
80,85,3,33,1
60,89,5,33,1
20,53,6,18,0
70,90,19,26,1
80,86,10,31,1
20,69,11,35,0
20,90,11,31,0
40,82,6,37,1
50,70,18,31,1
0,52,21,38,0
20,46,14,35,0
50,43,21,26,1
90,90,5,35,1
50,47,24,28,1
20,73,18,31,0
80,50,19,27,1
30,64,14,31,0
80,80,26,21,1
20,63,10,34,0
20,66,11,19,0
50,78,11,23,1
0,62,11,14,0
60,72,14,18,1
80,83,11,30,1
0,65,23,13,0
0,34,16,32,0
60,84,19,23,1
10,47,11,33,0
0,15,16,33,0
80,63,5,28,1
50,74,11,31,1
90,99,5,28,1
